WBGene_ID,Gene_name,Peptide_count,Neurons,Gonad,Hypodermis,Pharynx,Body_wall_muscle,Glia,Intestine,Germline,Somatic_gonad_precursors,Seam_cells,Non-seam_hypodermis,Pharyngeal_epithelia,Pharyngeal_muscle,Pharyngeal_neurons,Pharyngeal_gland,Body_wall_muscle,Sex_myoblasts,Intestinal/rectal_muscle,Socket_cells,Am/PH_sheath_cells,Cholinergic_neurons,Touch_receptor_neurons,GABAergic_neurons,Oxygen_sensory_neurons,flp-1(+)_interneurons,Canal_associated_neurons,Ciliated_sensory_neurons,Other_interneurons,Rectum,Distal_tip_cells,Vulval_precursors,Coelomocytes,Excretory_cells,AFD,ASEL,ASER,ASG,ASI/ASJ,ASK,AWA,AWB/AWC,Cholinergic_(3),Cholinergic_(11),Cholinergic_(15),Cholinergic_(23),Cholinergic_(24),Cholinergic_(26),Cholinergic_(29),Cholinergic_(35),Cholinergic_(36),GABAergic,Dopaminergic,flp-1(+),BAG,URX/AQR/PQR,Touch_receptor,PVC/PVD,SDQ/ALN/PLN,CAN,RIA,RIC,DVA,Cluster_5,Cluster_10,Cluster_13,Cluster_16,Cluster_17,Cluster_21,Cluster_25,Cluster_27,Cluster_40,Pharyngeal_(33),Pharyngeal_(37)
WBGene00003786,npa-1,18,78.266,1.662,5.13,7.28,4.753,9.435,34817.579,1.632154346,2.656783432,6.619225922,2.157488088,9.633352117,15.1959415,0,0,4.752564248,2.57893142,10.37301357,0,7.153331664,82.84831463,17.30642761,27.43960831,0,49.21642028,0,35.19733989,39.62322312,0,0,7.217558756,7.044966314,0,0,48.09,0,59.02,0,39.91,183.35,0,0,204.17,0,0,63.82,0,0,706.32,0,29.27,0,49.18,0,0,17.31,19.03,0,0,0,273.58,0,394.02,0,22.75,53.1,18.64,16.1,15.39,0,0,0,0
WBGene00010070,nep-17,1253,2.91,0.886,1.633,3.44,1.549,2.195,8366.29,0.972139672,0,1.721296308,1.958127404,0,0,0,0,1.548640411,0,0,0,5.599165869,5.795421617,20.50693134,21.95622319,0,0,0,0,0,0,0,0,3.475030482,2.48449674,0,0,0,0,0,0,0,0,7.44,0,0,0,31.29,0,0,0,0,15.78,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000802,crt-1,219,1836.465,835.094,2693.188,1841.99,2289.543,2776.839,6774.384,666.1642434,1651.746084,3255.448503,1079.981347,701.5756257,1075.307318,1717.654811,5608.87409,2289.542901,2405.660453,3226.396266,1002.16349,5393.591482,1568.310366,3059.730473,1973.687786,933.9062123,2177.908575,2829.666346,1601.923536,2925.464467,2356.198622,5213.563264,1430.29355,14841.98547,1931.902418,160.38,616.6,885.47,2954.32,1310.48,1502.42,2240.59,1567.82,1860.52,1578.71,2750.97,890.39,1870.34,1686.83,2229.49,974.64,1991.87,2003.06,1524.7,1808.98,691.39,969.37,3059.73,4108.85,1018.17,2829.67,2650.76,770.1,1121.08,1597.27,1525.91,1211.45,961.1,419.04,1807.09,2115.96,1441.8,239.29,2671.67,1443.96
WBGene00019617,K10C2.1,1824,5.848,0.083,1.975,0.82,1.866,0,6565.492,0.09071359,0,2.9478213,0,0,0.645844636,0,5.277434745,1.866043456,0,1.38218529,0,0,7.165248545,0,25.45308854,19.9920032,0,35.16050772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26,0,0,27.15,25.99,0,0,78.17,0,0,0,35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018237,irg-7,1071,2.503,0.493,2.99,0,2.918,6.874,5457.541,0.273718041,3.719452382,2.979324648,4.0588369,0,0,0,0,2.918125201,1.28946571,0,17.87699437,0,0,0,0,0,0,0,7.564639847,0,0,0,0.79152561,2.810286818,0,0,0,0,0,0,0,0,75.83,0,4.21,0,0,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002007,hsp-3,191,933.006,279.415,2029.19,2398.427,1305.195,2166.523,5164.768,28.31694044,2315.246648,2598.856167,717.9153179,1606.743577,1390.313269,1038.032268,4849.546719,1305.195012,2476.99274,1822.810529,1151.45295,3967.015971,1014.719069,1670.650573,797.5738525,773.6127343,906.0824564,1291.550799,835.1840731,1664.612946,1576.02377,4443.998513,1416.855108,6822.169608,1898.311518,297.27,761.42,470.26,1207.29,1184.25,754.1,236.25,209.06,1319.27,728.5,1354.84,511.39,1022.38,581.5,1158.02,580.54,1174.13,827.26,457.97,800.91,1002.86,563.31,1670.65,2071.44,780.14,1291.55,2174.03,580.56,332.45,496.94,366.89,985.7,1263.09,391.9,353.91,1019.52,276.73,400.66,2242.16,692.59
WBGene00000214,asp-1,1205,18.68,3.225,17.683,4.378,5.2,0.385,5161.164,3.336314816,1.437060349,14.63464397,30.90802349,5.004993302,0,82.71982794,0,5.199741004,5.43356268,7.190981588,0,0.981628817,8.2795142,0,0,0,108.0069124,32.51451608,15.14153939,0,13.28577028,3.902012658,4.964963716,23.24771061,0,0,0,0,0,0,0,0,0,0,22.2,47.93,0,46.94,0,13.38,0,0,0,40.58,79.32,0,0,0,0,0,32.51,0,0,0,0,51.25,0,61.76,0,0,0,0,0,0,106.45
WBGene00000140,anc-1,141,962.437,329.887,1579.407,1392.452,1864.537,954.279,4166.467,20.09461447,4000.793346,1780.394866,936.6563993,1728.046956,1311.217162,1084.962412,658.4268105,1864.537061,3816.350076,1174.307825,923.1772537,1016.7601,803.4769313,1303.858174,1033.942681,1031.983344,1107.431223,864.56919,858.6641305,880.4710169,811.6657019,2162.798489,2559.621374,190.5131304,1625.399922,444.4,1199.83,674.92,574.79,805.47,905.7,881.65,1107.29,796.99,964.56,641.01,1354.5,689.13,1099.5,884.26,1116.61,912.41,1012.29,944.61,1146.05,824.95,1208.04,1303.86,1104.19,1032.85,864.57,635.6,760.06,638.94,1040.76,1428.53,1768.65,1036.71,756.63,833.6,763.65,905.61,739.11,656.07,1208.01
WBGene00006876,vab-10,6,305.954,240.57,1343.371,2559.437,1334.636,1458.933,3711.245,52.46033323,1480.603075,1179.711506,1500.604148,3514.098651,1617.589893,954.7246941,392.4686065,1334.63621,759.4566316,424.1991802,1786.25897,896.4423627,204.7926745,295.3435597,189.339653,276.1292342,143.270473,351.4094322,379.2172957,417.6095781,979.8732695,4173.341479,1762.750824,1102.770934,3041.23157,459.75,542.39,257.1,457.07,617.61,422.47,402.38,297.91,172.76,282.36,211.5,0,117.28,124.03,285.15,184.37,0,201.96,396.83,136.01,79.72,1011.26,295.34,374.04,0,351.41,172.83,153.93,1136.05,34.1,947.56,905.15,272.11,253.24,298.73,213.86,186.71,406.78,190.52,1173.96
WBGene00003902,pab-1,91,2830.909,4832.49,3049.021,2895.49,5421.58,1650.301,3710.687,4632.350016,7362.517842,3561.114684,1951.535995,2344.619831,3168.532033,4512.093179,3523.86219,5421.580418,8492.713738,4135.587606,1378.600779,1689.948938,2521.828822,3590.714487,2405.692619,2259.146873,4443.703666,5180.656062,2149.410986,2166.379138,1757.393769,5564.83411,5500.358493,4257.439042,2651.799822,1028.17,807.11,1218.01,1504.59,1579.79,1234.78,1967.15,1988.41,2241.97,2534.41,5213.49,3639.05,2708.2,2369.03,3408.88,1132.02,3400.23,2312.23,1612.25,4303.45,1397.5,4332.27,3590.71,944.66,1609.32,5180.66,3744.46,2217.11,3540.14,2618.01,3845.99,2517.72,2777.54,3696.08,2419.94,3661.4,3091.18,2579.69,4539.72,4504.17
WBGene00011480,enpl-1,243,261.221,599.564,626.319,1800.445,134.485,564.021,3594.501,608.5336587,318.82343,776.8107644,232.2112071,980.5798198,1640.034021,205.88234,2581.230756,134.4850618,388.5435407,210.0273179,469.518044,796.2135078,249.8643322,305.5511742,226.9877303,107.0292118,302.4813254,539.3244051,451.70307,379.3396636,600.7771772,1043.923241,507.6952586,1994.975749,344.9916002,91.47,618.52,126.74,662.6,810.52,243.74,407.84,156.64,162,217.77,658.8,0,319.82,136.84,380.15,150.44,167.76,242.12,173.6,336.87,119.96,193.98,305.55,552.84,59.23,539.32,202.65,251.02,196.2,43.83,145.21,120.94,206.54,86.39,661.43,187.62,0,0,392.3,152.4
WBGene00004076,pod-2,108,83.68,144.628,294.43,67.963,55.236,53.378,3433.841,143.0181687,109.7578972,297.5110442,260.1072354,65.10797509,76.63909638,57.34695708,35.1339434,55.23575546,139.8877717,110.8074987,117.8668727,11.55097063,87.29654208,41.68702929,95.21394615,104.9976733,54.40150218,164.9369549,73.82258206,83.43694827,145.3483224,307.9543758,63.20511749,71.79896104,192.338891,0,0,0,0,0,171.17,0,54.11,51.13,103.71,389.89,0,58.79,106.9,78.68,31.52,78.31,101.56,27.71,78.18,13.82,148.61,41.69,153.23,121.92,164.94,0,72.63,0,0,48.23,72.39,60.9,0,97.62,101.11,88.21,0,0,73.8
WBGene00012018,T25C12.3,311,3.056,0.893,2.775,0,1.9,6.84,3304.867,0.979887822,0,2.896012932,2.480251063,0,0,0,0,1.899679406,2.025000658,0,16.36293086,1.397106592,0,0,0,0,0,0,14.05501131,0,9.757430283,0,4.443292767,0,0,0,0,0,0,0,164.37,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
