WBGene_ID,Gene_name,Cholinergic_(29),Cholinergic_(35),Cholinergic_(36),GABAergic,Dopaminergic,flp-1(+),BAG,URX/AQR/PQR,Touch_receptor,PVC/PVD,SDQ/ALN/PLN,CAN,RIA,RIC,DVA,Cluster_5,Cluster_10,Cluster_13,Cluster_16,Cluster_17,Cluster_21,Cluster_25,Cluster_27,Cluster_40,Pharyngeal_(33),Pharyngeal_(37)
WBGene00003786,npa-1,0,706.32,0,29.27,0,49.18,0,0,17.31,19.03,0,0,0,273.58,0,394.02,0,22.75,53.1,18.64,16.1,15.39,0,0,0,0
WBGene00010070,nep-17,0,0,0,15.78,0,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000802,crt-1,2229.49,974.64,1991.87,2003.06,1524.7,1808.98,691.39,969.37,3059.73,4108.85,1018.17,2829.67,2650.76,770.1,1121.08,1597.27,1525.91,1211.45,961.1,419.04,1807.09,2115.96,1441.8,239.29,2671.67,1443.96
WBGene00019617,K10C2.1,47.26,0,0,27.15,25.99,0,0,78.17,0,0,0,35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018237,irg-7,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002007,hsp-3,1158.02,580.54,1174.13,827.26,457.97,800.91,1002.86,563.31,1670.65,2071.44,780.14,1291.55,2174.03,580.56,332.45,496.94,366.89,985.7,1263.09,391.9,353.91,1019.52,276.73,400.66,2242.16,692.59
WBGene00000214,asp-1,13.38,0,0,0,40.58,79.32,0,0,0,0,0,32.51,0,0,0,0,51.25,0,61.76,0,0,0,0,0,0,106.45
WBGene00000140,anc-1,884.26,1116.61,912.41,1012.29,944.61,1146.05,824.95,1208.04,1303.86,1104.19,1032.85,864.57,635.6,760.06,638.94,1040.76,1428.53,1768.65,1036.71,756.63,833.6,763.65,905.61,739.11,656.07,1208.01
WBGene00006876,vab-10,285.15,184.37,0,201.96,396.83,136.01,79.72,1011.26,295.34,374.04,0,351.41,172.83,153.93,1136.05,34.1,947.56,905.15,272.11,253.24,298.73,213.86,186.71,406.78,190.52,1173.96
WBGene00003902,pab-1,3408.88,1132.02,3400.23,2312.23,1612.25,4303.45,1397.5,4332.27,3590.71,944.66,1609.32,5180.66,3744.46,2217.11,3540.14,2618.01,3845.99,2517.72,2777.54,3696.08,2419.94,3661.4,3091.18,2579.69,4539.72,4504.17
WBGene00011480,enpl-1,380.15,150.44,167.76,242.12,173.6,336.87,119.96,193.98,305.55,552.84,59.23,539.32,202.65,251.02,196.2,43.83,145.21,120.94,206.54,86.39,661.43,187.62,0,0,392.3,152.4
WBGene00004076,pod-2,78.68,31.52,78.31,101.56,27.71,78.18,13.82,148.61,41.69,153.23,121.92,164.94,0,72.63,0,0,48.23,72.39,60.9,0,97.62,101.11,88.21,0,0,73.8
WBGene00012018,T25C12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009259,hpo-34,0,0,0,0,0,0,0,0,26.97,28.85,15.55,0,0,0,0,0,0,0,13.07,0,0,41.42,0,0,0,0
WBGene00001167,eef-2,1064.2,1124.82,1239.04,1013.84,1136.69,1484.69,1043.19,2523.04,1012.37,505.32,606.87,2798.75,1147.31,1395.28,1009.8,611.82,3084.03,1171.21,1333.34,190.5,1267.98,1522.84,525.72,90.09,751.52,1830.89
WBGene00004736,sca-1,749.11,346.68,647.68,260.56,351.13,340.98,374.46,324.54,695.34,736.07,310.8,378.44,296.08,251.39,258.57,203.97,290.5,16.03,536.88,271.82,174.1,693.39,216.31,245.4,721,97.34
WBGene00007463,vgln-1,125.34,576.74,103.9,75.24,123.32,248.32,0,23.57,373.82,177.39,197.22,839.54,208.32,90.72,265.98,78.65,333.76,314.5,317.94,69.01,347.81,149.86,164.54,0,178.52,329.78
WBGene00003964,pdi-3,942.61,0,828.45,730.02,499.98,457.51,274.02,305.07,504.79,989.38,257.58,805.36,979.34,1146.73,456.17,338.66,662.64,356.26,474.84,260.67,523.45,557.35,293.81,0,348.13,554.55
WBGene00019017,F57F4.4,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0
WBGene00011771,T14G8.3,92.07,0,111.14,159.26,542.74,337.06,445.52,283.17,267.75,730.14,56.42,364.92,181.37,52.87,123.01,21.92,370.32,313.48,309.82,101.47,264.83,336.94,350.22,0,51.71,134.3
WBGene00011232,pck-2,95.22,320.45,154.68,358.42,126.59,122.54,32.8,68.56,116.65,19.07,730.64,560.65,765.96,276.28,24.03,44.36,33.15,0,106.65,78.09,0,151.88,51.15,0,775.54,57.22
WBGene00021048,W05H9.1,0,0,0,0,0,0,0,0,24.69,9.36,0,0,0,0,0,153.54,0,0,0,0,0,0,0,0,0,0
WBGene00016405,hecd-1,617.01,470.86,683.37,359.7,1410.65,939.01,366.97,667.57,924.85,571.62,1099.52,925.62,989.35,957.41,1125.06,504.51,690.33,683.16,1255.38,893.1,519.88,1037.38,1171.23,0,1164.59,721.15
WBGene00022069,eel-1,580.19,827.56,974.93,914.04,598.18,935.57,208.03,541.1,1094.29,891.3,968.42,1098.6,826.89,839,626.53,540.73,824.14,1068.39,1082.85,395.44,755.13,740.97,2198.93,0,1478.6,848.69
WBGene00003995,pgp-1,0,0,0,1.86,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001137,eat-6,3870.94,740.7,3064.88,2612.51,2383.73,2267.61,937.34,1774.98,3238.95,1722.4,1573.37,100.8,2836.76,3034.73,3303.24,1904.43,1162.38,1094.45,1222.03,1085.27,863.64,2247.12,2060.22,2089.89,1578.26,1771
WBGene00003153,mca-3,2734.44,2034.9,5297.96,4009.64,3659.43,2692.06,2479.15,2190.54,3335.95,9181.07,2945.12,1427.07,4116.44,3085.88,3030.64,5646.69,1896.08,2831.77,2306.12,2979.42,1738.61,3416.08,4479.04,2029.14,2689.04,3023.74
WBGene00000789,cpz-2,0,0,0,0,21.91,0,0,0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019510,K07H8.10,170.18,19.59,75.12,196.07,80.63,177.91,13.82,131.56,44.18,106.12,339.81,184.96,85.94,0,66.54,29.14,165.34,66.33,50.12,263.8,144.58,112.75,90.29,422.33,36.54,235.74
WBGene00004415,rpl-4,4128.28,2392.37,4585,2083.64,3808.41,5519.07,3996.59,6406.27,3399.16,1843.64,2173.69,8690.67,4288.74,6052,3670.75,2823.73,5498.31,3246.65,5028.21,2739.76,4363.25,4581.07,5189.75,2676.13,2872.1,4918.89
WBGene00006404,tag-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019957,R08E3.1,0,0,0,16.06,0,0,0,0,0,0,0,0,0,72.63,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00010357,H03A11.2,864.17,68.83,381.83,38.21,536,72.11,125.42,793.38,2.71,267.16,202,15.7,500.14,1309.71,78.64,0,52.41,49.46,451.69,53.93,350.83,79.78,0,0,167.15,265.97
WBGene00002008,hsp-4,415.82,234.58,859.3,517.35,406.32,811.17,34.23,0,1362.08,1667.39,98.29,334.72,122.41,932.53,129.9,73.14,62.28,55.65,601.88,201.62,175.05,227.75,653.98,0,174.89,301.41
WBGene00003411,mrp-5,22.3,0,22.78,95.82,43.68,24.66,0,0,79.16,29.98,51.94,203.86,0,0,0,0,51.25,605.41,83.21,31.42,62.18,38.8,0,0,61.05,31.17
WBGene00012445,Y16B4A.2,0,0,172.23,0,0,0,0,0,0,6.99,0,0,0,0,66.54,0,0,0,0,0,0,0,0,0,0,0
WBGene00017012,acs-22,0,0,44.84,0,46.59,0,0,0,0,0,0,0,0,65.83,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022644,dod-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.23,0,0,0,0,0,0,0,0,0,0,15.95
WBGene00019435,K06A9.1,0,0,0,0,0,0,0,0,507.78,0,46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00008741,F13D12.6,6.22,0,0,27.23,0,0,0,42.45,0,6.99,0,0,0,0,0,0,17.08,0,0,0,0,0,0,0,0,20.59
WBGene00001564,icl-1,2.31,263.23,0,0,0,13.17,0,48.56,8.81,0,0,0,349.63,0,0,0,66.3,0,36.63,0,0,0,0,0,0,25.78
WBGene00004416,rpl-5,1279.33,1599.47,3124.9,952.2,1686.75,2580.09,846.64,1467.05,1472.1,908.13,944.13,3362.47,1727.29,2569.26,2317.17,1402.19,2849,1914.43,2946.83,2199.19,2870.13,2415.18,2538.14,779.39,1387.66,2356.68
WBGene00017892,F28B4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000962,dhc-1,1065.54,559.76,1613.06,761.59,794.46,679.95,692.08,731.05,729.14,796.18,1059.22,1171.88,599.52,401.76,517.36,690.14,568.48,450.17,854.81,419.97,425.19,908.41,768.09,535.49,882.24,626.19
WBGene00016650,ubr-4,1331.84,1795.52,801.12,1615.13,1201.9,557.31,920.84,1603.24,1183.18,776.49,1334.7,1485.72,1056.24,371.05,785.13,748.31,1182.91,590.64,782.8,863.65,1069.27,1146.68,1013.01,1756.91,842.07,862.27
WBGene00014666,C05D12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018604,uggt-1,229.17,74.32,175.69,100.89,292.94,313.31,0,320.63,75.04,360.41,145.57,350.29,95.45,238.14,500.74,209.62,291.61,238.19,151.15,249.73,143.79,308.73,416.44,0,974.95,142.76
WBGene00000229,atp-2,767.34,496.7,657.82,775.02,740.57,533.39,657.55,306.09,694.97,263.61,366.37,546.93,1062.71,846.3,437.35,509.92,444.01,876.19,419.47,837.71,646.75,563.31,429.84,664.83,544.7,534.02
WBGene00000967,dhs-3,0,0,0,0,0,0,0,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0
WBGene00004167,pqn-87,1092.88,955.46,524.34,1247.99,1105.37,1321.34,1921.02,1460.85,816.46,1225.78,2206.87,1890.26,638.16,1481.01,902.41,507.35,803.04,389.31,734.5,453.91,915.01,1424.83,2061.14,1391.78,1240.4,1240.35
WBGene00020128,R193.2,0,0,0,0,0,28.26,40.01,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002066,ifg-1,334.76,76.63,674.91,141.88,534.85,230.11,209.12,407.85,305.91,449.45,391.83,365.2,195.67,668.6,237.33,818.31,266.88,240.09,180.81,33.09,307.62,350.76,184.95,0,480.5,253.92
WBGene00001099,dsc-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.03,0,0,0,0,0,0,22.15
WBGene00002173,itr-1,0,0,0,4.53,0,7.61,0,0,19.47,0,0,3.22,19.33,0,0,0,0,0,94.02,0,0,64.72,0,0,0,462.3
WBGene00000776,cpl-1,18.42,0,0,72.17,0,25.44,52.19,0,0,0,13.35,0,0,0,0,0,0,0,52.98,0,0,66.23,0,0,0,0
WBGene00019895,aagr-2,0,0,0,0,0,32.46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0
WBGene00002041,hum-8,0,0,0,0,0,27.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00003738,nid-1,0,0,0,0,0,0,0,0,1587.07,12.43,7.28,0,0,0,0,0,0,0,12.35,0,0,57.18,0,0,0,0
WBGene00007605,hrg-7,0,0,0,9.39,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00004414,rpl-3,1526.9,2148.92,1050.07,1211.56,1868.57,2015.25,2055.1,2238.55,1608.79,1283.94,1531.3,3652.51,1316.86,1085.95,1202.7,1080.69,2595.25,957.53,2795.33,1507.77,3162.6,1892.3,2788.48,1047.41,1232.77,1965.37
WBGene00020788,nep-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00006915,vha-6,18.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000785,cpr-5,0,0,0,0,0,0,0,0,6.05,39.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00010419,atp-1,422.73,319.62,482.77,437.72,652.03,452.73,350.35,219.17,611.39,220.07,441.41,287.73,812.92,295.24,80.95,595.22,217.31,395.89,621.65,527.35,542.93,286.12,375.97,110.8,424.72,353.34
WBGene00000067,act-5,0,0,0,0,120.37,20.36,0,0,4,67.46,0,0,0,0,0,0,0,0,81.08,16.08,0,46.74,0,0,0,0
WBGene00006439,ant-1.1,1032.53,974.57,1420.94,1289.2,1707.71,1079.74,918.29,1229.38,1265.22,788.68,596.18,1070.08,1814.56,1476.7,1700.59,544.23,1045.62,724.42,1204.72,745.76,913.42,1191.59,959.62,1355.39,650.86,1077.28
WBGene00020158,T02C5.1,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,202.43,0,0,0
WBGene00008194,C49C3.4,0,0,0,0,0,6.99,0,0,0,0,0,340.08,0,0,0,26.06,0,0,0,0,0,0,0,0,0,0
WBGene00003963,pdi-2,282.15,435.45,207.59,311.86,483.72,297.08,195.21,111.47,511.94,884.26,311.75,413.35,312.38,278.71,197.9,379.42,230.13,136.49,204.12,88.24,186.78,570.24,132.63,259.74,665.45,516.08
WBGene00004473,rps-4,1630.6,1431.17,1772.42,857.34,1694.71,2975.38,1170.29,2462.12,1610.76,951.19,799.9,4456.41,871.87,2162.35,1815.2,1229.24,2777.32,2037.67,2210.08,1828.79,2634.79,2438.91,1315.91,1204.83,2000.5,2130.87
WBGene00000081,ads-1,0,0,0,0,0,0,0,0,0,71.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009888,F49E2.5,742.63,252.29,862.23,534.07,1127.05,436.39,331.74,1473.9,675.24,1160.3,838.83,1363.12,594.16,607.75,1846.33,1082.1,457.06,2003.93,973.41,450.03,1241.13,1452,787.25,367.11,944.65,531.75
WBGene00009920,abts-1,2545.07,2910.74,3420.42,3162.23,2659.96,2016.71,979.5,824.04,2185.28,1518.7,1265.89,90.19,2921.43,1836.25,1134.31,1058.41,1704.1,767.25,1126.07,3023.57,1216.56,3388.74,2208.75,1609.47,1414.42,1412.49
WBGene00020679,ogdh-1,696.41,399.69,630.56,409.24,365.29,356.13,86.61,348.17,645.29,627.47,356.62,393.68,270.01,798.86,435.62,160.26,229.37,755.28,258.27,420.64,676.7,572.61,323.72,0,363.06,268.99
WBGene00002174,itx-1,0,0,0,0,0,0,0,0,0,0,0,34.3,0,0,0,0,0,0,0,0,0,17.55,0,0,0,0
WBGene00001047,dnj-29,259.04,232.78,235.65,180.63,124.47,232.43,127.28,0,212.62,232.96,372.97,461,156.54,166.26,24.03,0,175.56,867.18,124.87,32.54,194.28,219.16,506.23,0,307.22,203.79
WBGene00014095,gdh-1,301.85,0,154.46,172.61,239.05,158.92,403.47,0,231.1,170.84,89.84,315.62,492.19,98.59,435.27,239.45,163.68,89.88,65.02,555.16,96.59,100.42,111.2,192.31,33.55,136.19
WBGene00004471,rps-2,1137.8,1126.31,1549.09,794.49,1538.66,1219.83,400.03,1759.59,1566.35,584.77,644.8,2609.34,1198.32,1845.24,2100.73,2117.38,2365.88,1217.16,2654.02,1248.8,2018.36,1744.88,1346.8,0,1589.4,1733.85
WBGene00010306,golg-4,381.14,145.25,291.04,481.55,196.64,431.56,0,253.47,414.74,219.37,491.92,2322.47,642.56,322.02,461.23,356.17,563.03,378.02,151.68,17.98,254.42,372.45,570.55,0,441.16,620.19
WBGene00010284,aman-2,196.56,85.45,108.65,211.74,68.19,183.88,77.17,39.88,138.62,85.21,140.24,553.23,258.42,0,117.07,194.86,0,0,321.49,273.91,409.4,354.53,0,222.22,135.41,183.7
WBGene00004431,rpl-19,1305.7,602.34,2703.56,1102.25,2060.14,2682.8,1835.09,1845.24,1977.17,1158.32,1174.91,4171.47,1876.42,1308.42,2409.23,1137.35,1698.29,1401.25,3207.27,1638.9,2341.17,2535.38,1998.39,638.62,1757.09,2354.78
WBGene00002010,hsp-6,223.05,0,22.19,506.61,257.1,28.24,21.48,194.01,192.28,6.42,191.31,489.75,532.21,0,115.88,182.28,30.13,0,106.9,138.66,119.1,177.39,88.21,268.46,51.57,153.23
WBGene00007455,ugt-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000219,asp-6,0,0,0,0,0,0,52.19,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009583,aagr-3,352.83,244.94,189.52,176.62,55.51,125.68,13.82,0,234.73,666.69,157.26,338.41,140.95,85.39,356.01,167.59,82.05,69.24,386.94,399.31,393.43,220.21,707.15,909.09,177,213.22
WBGene00015344,nra-4,160.89,497.35,146.6,178.89,252.48,227.49,202.45,297.86,197.57,262.73,105.66,517.74,276.21,0,34.77,453.11,63.13,221.71,134.47,183.92,187.24,275.31,159.56,935.12,273.11,139.29
WBGene00015168,pdi-6,206.38,0,273.32,242.07,35.14,26.95,0,0,216.59,203.62,133.18,324.01,124.96,0,85.25,0,63.53,42.01,268.29,0,104.47,177.92,164.37,0,247.87,70.3
WBGene00000915,hsp-90,2956.59,2756.96,2573.99,1886.91,4693.3,2827.51,3208.06,5667.74,2374.56,1872.11,1945.88,4669.38,2445.68,4112.69,1182.98,1747.94,1956.37,1795.06,3207.67,1922.44,2865.27,3555.78,2329.25,2618.18,1665.29,2221.86
WBGene00003986,mct-4,511.41,0,141.89,233.32,151.75,232.3,41.46,173.02,225.6,1064.36,233.2,0,74.93,233.93,116.6,153.84,350.99,14.47,131.55,171.23,132.44,922.98,436.41,0,316.16,91.46
WBGene00010083,xdh-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00011629,T08G11.1,978.2,222.5,201.97,456.42,787.39,505.16,272.31,403.42,911.17,527.33,847.58,1039.11,484.11,433.63,607.27,214.95,1051.91,717.6,428.21,204.91,1001.33,481.74,143.46,201.01,300.32,1069.44
WBGene00006936,glp-4,63.68,31.52,0,50.15,165.39,101.5,0,81.92,65.01,34,65.21,157.57,126.68,0,64.22,88.72,205.11,0,45.86,0,70.22,84.04,129.07,0,104.67,38.83
WBGene00004428,rpl-16,1134.37,2252.77,1860.85,1097.21,1412.71,2126.25,1539.58,1023.77,1013.7,777.57,409.07,3213.24,1486.83,2661.63,1402.58,711.7,2838.84,1265.41,1619.37,1217.89,1679.54,1586.8,1814.83,1667.49,1298.23,1484.46
WBGene00002025,hsp-60,98.92,0,9.48,60.81,39.06,107.41,13.82,57.94,105.72,0,35.7,510.74,526.42,0,64.5,62.34,0,50.05,0,0,19.7,196.48,0,0,0,148.55
WBGene00002915,let-805,0,0,0,0,0,9.5,0,0,53.23,14.96,0,10.03,0,0,66.54,73.05,0,0,0,0,0,22.04,0,0,0,6.92
WBGene00004477,rps-8,1595.07,1578.83,2231.53,1594.51,1174.36,2239.29,1578.57,1356.13,1440.89,956.61,967.6,4509.3,1458.35,2014.06,2163.76,1051.05,2068.07,2556.96,2367.15,2035.83,3276.02,2282.28,1906.26,927.64,1806.04,1999.12
WBGene00011330,T01D3.6,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0
WBGene00002056,ifc-2,28.08,0,38.36,44.62,0,0,0,0,8.29,0,0,58.87,0,0,93.08,0,0,0,0,0,0,6.36,0,0,47.54,0
WBGene00001423,fib-1,171.8,0,82.74,84.39,167.84,6.8,0,165.83,136.76,14.94,130.86,582.67,560.02,0,186.94,150.67,80.28,0,119.61,17.88,76.88,30.44,0,0,221.78,264.38
WBGene00004469,rps-0,1775.86,1718.18,2105.62,1292.88,1503.83,2300.81,1565.65,2615.88,1736.78,1277.2,840.77,3689.91,1857.77,3330.35,2156.77,1160.21,2313.29,743.6,2402.24,1401.23,3351.03,2862.77,1959.63,421.05,2172.61,1772.19
WBGene00008607,F09B12.3,0,0,0,0,0,0,0,0,0,30.79,0,33.47,0,385.06,0,60.47,0,0,0,0,0,10.43,0,0,0,0
WBGene00003073,lars-1,230.97,80.19,98.39,63.93,183.18,289.57,0,138.51,96.41,57.38,36.31,414.54,322.53,325.68,0,171.21,288.79,0,159.48,499.01,216.13,263.86,528.76,0,230.85,310.51
WBGene00002583,let-363,449.56,222.24,242.83,507.89,332.59,289.94,231.09,243.3,434.04,394.26,389.3,536.64,436.11,74.1,244.67,230.19,343.21,304.18,158.37,179.24,232.18,293.83,402.53,575.54,102.54,365.33
WBGene00001398,fat-6,0,0,0,17.09,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017948,mth-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.18,0,0,0,0,0,0
WBGene00010047,F54D1.6,0,0,0,0,0,7.05,0,124.63,0,0,0,3.22,0,0,0,0,0,1132.61,0,0,0,0,0,0,0,271.81
WBGene00000022,abt-4,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,0,0,0,0
WBGene00004474,rps-5,1462.07,2034.87,3080.5,1079.79,1889.05,1926.48,1997.96,1881.48,2223.52,781.76,1218.29,3783.99,1419.4,2164.67,1629.4,1461.62,3590.39,1495.49,3779.9,1893.2,2842.29,1804.38,1773.04,1467.87,1874.81,1842.53
WBGene00016194,C28H8.3,260.03,390.01,280.65,135.17,201.48,694.99,162.16,324.08,422.02,290.89,448.91,442.79,636.13,0,551.79,237.47,735.6,385.67,350.66,297.63,709.83,450.08,717.11,370.5,644.71,556.35
