Wormbase_ID,Gene_name
WBGene00007067,4R79.2
WBGene00007308,C04G2.9
WBGene00016322,C32E8.4
WBGene00007986,C36F7.5
WBGene00016612,C43G2.3
WBGene00016707,C46E10.1
WBGene00008660,clec-153
WBGene00008202,clec-197
WBGene00013933,clec-99
WBGene00017542,F17E9.5
WBGene00017945,F31D5.2
WBGene00018332,F42A9.3
WBGene00010254,F58E6.5
WBGene00007954,gcp-2.2
WBGene00010679,K08F4.5
WBGene00019289,kcc-3
WBGene00010829,M02B1.4
WBGene00003431,msp-33
WBGene00022751,msrp-2
WBGene00008077,oac-8
WBGene00004904,snf-5
WBGene00020370,T08H10.3
WBGene00021880,Y54G2A.15
WBGene00022143,Y71G12B.3
WBGene00022385,Y95B8A.4
WBGene00044393,ZK1248.20
WBGene00014104,ZK849.6
WBGene00000174,aqp-6
WBGene00007722,C25D7.15
WBGene00016107,C25G6.1
WBGene00008063,C41G7.6
WBGene00021017,cil-7
WBGene00009844,cwp-5
WBGene00009114,F25D7.5
WBGene00009147,F26C11.3
WBGene00018120,F36H12.4
WBGene00010316,F59B8.1
WBGene00003058,lov-1
WBGene00004035,pkd-2
WBGene00011214,R10E9.2
WBGene00004267,rab-3
WBGene00004921,snt-1
WBGene00011378,T02E1.6
WBGene00011523,T06D8.2
WBGene00011754,T13F3.7
WBGene00044205,T13F3.8
WBGene00011968,T23G11.1
WBGene00006532,tba-6
WBGene00006612,trf-1
WBGene00022454,trf-2
WBGene00013771,Y113G7C.1
WBGene00021633,Y47G6A.3
WBGene00013148,Y53F4A.2
WBGene00013498,Y70G10A.2
WBGene00000171,aqp-3
WBGene00015028,B0207.5
WBGene00007274,C03C11.1
WBGene00007478,C09F9.1
WBGene00015655,C09G12.5
WBGene00015846,C16C8.8
WBGene00015907,C17F3.1
WBGene00016288,C31H1.5
WBGene00016336,C33C12.4
WBGene00007905,C33G3.5
WBGene00016461,C35E7.9
WBGene00016541,C39H7.1
WBGene00008175,C48B4.12
WBGene00008201,C49C3.11
WBGene00008259,C52E4.7
WBGene00007248,catp-4
WBGene00021288,clec-123
WBGene00021118,clec-125
WBGene00018048,clec-137
WBGene00018096,clec-207
WBGene00018097,clec-208
WBGene00020945,clec-219
WBGene00021579,clec-73
